%Positional array:
North	East	Altitude
-29.71	-19.3	0.0
-23.77	-15.44	0.0
-17.83	-11.58	0.0
-11.89	-7.72	0.0
-5.94	-3.86	0.0
0.0	0.0	0.0
5.94	3.86	0.0
11.89	7.72	0.0
17.83	11.58	0.0
23.77	15.44	0.0
29.71	19.3	0.0
14.11	-34.74	0.0
20.06	-30.88	0.0
26.0	-27.02	0.0
1.86	-35.38	0.0
7.8	-31.52	0.0
13.74	-27.66	0.0
19.69	-23.8	0.0
25.63	-19.94	0.0
31.57	-16.08	0.0
-10.4	-36.03	0.0
-4.46	-32.17	0.0
1.49	-28.31	0.0
7.43	-24.45	0.0
13.37	-20.59	0.0
19.31	-16.73	0.0
25.26	-12.87	0.0
31.2	-9.01	0.0
37.14	-5.15	0.0
-16.71	-32.81	0.0
-10.77	-28.95	0.0
-4.83	-25.09	0.0
1.11	-21.23	0.0
7.06	-17.37	0.0
13.0	-13.51	0.0
18.94	-9.65	0.0
24.89	-5.79	0.0
30.83	-1.93	0.0
36.77	1.93	0.0
-23.03	-29.59	0.0
-17.09	-25.73	0.0
-11.14	-21.87	0.0
-5.2	-18.01	0.0
0.74	-14.15	0.0
6.69	-10.29	0.0
12.63	-6.43	0.0
18.57	-2.57	0.0
24.51	1.29	0.0
30.46	5.15	0.0
36.4	9.01	0.0
-23.4	-22.52	0.0
-17.46	-18.66	0.0
-11.51	-14.8	0.0
-5.57	-10.94	0.0
0.37	-7.08	0.0
6.31	-3.22	0.0
12.26	0.64	0.0
18.2	4.5	0.0
24.14	8.36	0.0
30.09	12.22	0.0
-30.09	-12.22	0.0
-24.14	-8.36	0.0
-18.2	-4.5	0.0
-12.26	-0.64	0.0
-6.31	3.22	0.0
-0.37	7.08	0.0
5.57	10.94	0.0
11.51	14.8	0.0
17.46	18.66	0.0
23.4	22.52	0.0
-36.4	-9.01	0.0
-30.46	-5.15	0.0
-24.51	-1.29	0.0
-18.57	2.57	0.0
-12.63	6.43	0.0
-6.69	10.29	0.0
-0.74	14.15	0.0
5.2	18.01	0.0
11.14	21.87	0.0
17.09	25.73	0.0
23.03	29.59	0.0
-36.77	-1.93	0.0
-30.83	1.93	0.0
-24.89	5.79	0.0
-18.94	9.65	0.0
-13.0	13.51	0.0
-7.06	17.37	0.0
-1.11	21.23	0.0
4.83	25.09	0.0
10.77	28.95	0.0
16.71	32.81	0.0
-37.14	5.15	0.0
-31.2	9.01	0.0
-25.26	12.87	0.0
-19.31	16.73	0.0
-13.37	20.59	0.0
-7.43	24.45	0.0
-1.49	28.31	0.0
4.46	32.17	0.0
10.4	36.03	0.0
-31.57	16.08	0.0
-25.63	19.94	0.0
-19.69	23.8	0.0
-13.74	27.66	0.0
-7.8	31.52	0.0
-1.86	35.38	0.0
-26.0	27.02	0.0
-20.06	30.88	0.0
-14.11	34.74	0.0
